"Numero de trabajo","Oficina","Descripcion","Fecha","Tiempo de mantenimiento","Numero orden pago","Pagado en caja","Pagado con traspaso de cuenta","Equipos propios"
"4619","Lab. de Computo","Hardware","11/10/2020","1","S/N","","","0"
"4620","Lab. de Computo","Hardware","11/23/2020","1","S/N","","","0"
"4621","Lab. de Computo","Hardware","11/10/2020","1","S/N","","","0"
"4622","Externo","Hardware","11/24/2020","3","15497","30","",""
"4623","Externo","Hardware","11/24/2020","1","15499","70","",""
"4624","Lab. de Computo","Hardware","11/16/2020","1","S/N","","","0"
"4625","Lab. de Computo","Hardware","11/16/2020","1","S/N","","","0"
"4626","Lab. de Computo","Hardware","11/18/2020","1","S/N","","","0"
"4627","Lab. de Computo","Hardware","11/18/2020","3","S/N","","","0"
"4628","Externo","Software","11/24/2020","1","15498","10","",""
"4629","Lab. de Computo","Hardware","11/20/2020","1","S/N","","","0"
"4630","Lab. de Computo","Hardware","11/20/2020","1","S/N","","","0"
"4631","Externo","Hardware","11/24/2020","3","15500","90","",""
"4632","Centro de Tec. Agroindustrial","Hardware","11/20/2020","1","15652","","60",""
"4633","Externo","Software","11/24/2020","3","15653","15","",""
"4634","Lab. de Computo","Hardware","11/20/2020","1","S/N","","","0"
"4635","Secretaria Administrativa","Hardware","11/20/2020","1","15651","","40",""
"4636","Lab. de Computo","Hardware","11/23/2020","3","S/N","","","0"
"4637","Externo","Software","11/25/2020","3","15654","50","",""
"4638","Lab. de Computo","Hardware","11/25/2020","1","S/N","","","0"
"4639","Lab. de Computo","Hardware","11/25/2020","1","S/N","","","0"
"4640","Externo","Hardware","11/27/2020","3","15655","100","",""
"4641","Lab. de Computo","Hardware","11/26/2020","2","S/N","","","0"
"4642","Lab. de Computo","Hardware","11/26/2020","1","S/N","","","0"
"4643","Depto. de Informatica-Sistemas","Hardware","11/26/2020","1","S/N","","","0"
"4644","Centro de Biotecnologia(Externo)","Software","11/27/2020","1","15656","40","",""
"4645","Lab. de Computo","Hardware","11/27/2020","1","S/N","","","0"
"4646","Lab. de Computo","Hardware","11/27/2020","1","S/N","","","0"
"4647","Lab. de Computo","Hardware","11/30/2020","1","S/N","","","0"
"4648","Lab. de Computo","Hardware","11/30/2020","1","S/N","","","0"
"4649","Lab. de Computo","Hardware","11/30/2020","1","S/N","","","0"
"4650","Lab. de Computo","Hardware","11/30/2020","1","S/N","","","0"
"4651","Externo","Hardware","12/1/2020","1","15658","100","",""
"4652","Centro de Alimentos","Software","12/2/2020","1","15657","","50",""
"4653","Lab. de Computo","Hardware","12/2/2020","2","S/N","","","0"
"4654","Lab. de Computo","Hardware","12/2/2020","1","S/N","","","0"
"4655","Centro de Alimentos","Hardware","12/2/2020","1","15659","","60",""
"4656","Lab. de Computo","Hardware","12/3/2020","1","S/N","","","0"
"4657","Lab. de Computo","Hardware","12/3/2020","1","S/N","","","0"
"4658","Externo","Software ","12/3/2020","1","15660","25","",""
"4659","Lab. de Computo","Hardware","12/3/2020","1","S/N","","","0"
"4660","Lab. de Computo","Hardware","12/3/2020","1","S/N","","","0"
"4661","Lab. de Computo","Hardware","12/4/2020","1","S/N","","","0"
"4662","Lab. de Computo","Hardware","12/4/2020","1","S/N","","","0"
"4663","Lab. de Computo","Hardware","12/7/2020","1","S/N","","","0"
"4664","Lab. de Computo","Hardware","12/7/2020","1","S/N","","","0"
"4665","Lab. de Computo","Hardware","12/7/2020","1","S/N","","","0"
